class,cap-shape,bruises,gill-spacing,gill-size,gill-color,stalk-surface-above-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,population
poisonous,convex,bruises,close,narrow,black,smooth,white,white,pendant,black,scattered
edible,convex,bruises,close,broad,black,smooth,white,white,pendant,brown,numerous
edible,bell,bruises,close,broad,brown,smooth,white,white,pendant,brown,numerous
poisonous,convex,bruises,close,narrow,brown,smooth,white,white,pendant,black,scattered
edible,convex,no,crowded,broad,black,smooth,white,white,evanescent,brown,abundant
edible,convex,bruises,close,broad,brown,smooth,white,white,pendant,black,numerous
edible,bell,bruises,close,broad,gray,smooth,white,white,pendant,black,numerous
edible,bell,bruises,close,broad,brown,smooth,white,white,pendant,brown,scattered
poisonous,convex,bruises,close,narrow,pink,smooth,white,white,pendant,black,several
edible,bell,bruises,close,broad,gray,smooth,white,white,pendant,black,scattered
edible,convex,bruises,close,broad,gray,smooth,white,white,pendant,brown,numerous
edible,convex,bruises,close,broad,brown,smooth,white,white,pendant,black,scattered
edible,bell,bruises,close,broad,white,smooth,white,white,pendant,brown,scattered
poisonous,convex,bruises,close,narrow,black,smooth,white,white,pendant,brown,several
edible,convex,no,crowded,broad,brown,smooth,white,white,evanescent,black,abundant
edible,sunken,no,close,narrow,black,smooth,white,white,pendant,brown,solitary
edible,flat,no,crowded,broad,black,smooth,white,white,evanescent,brown,abundant
poisonous,convex,bruises,close,narrow,brown,smooth,white,white,pendant,black,scattered
poisonous,convex,bruises,close,narrow,brown,smooth,white,white,pendant,brown,scattered
poisonous,convex,bruises,close,narrow,black,smooth,white,white,pendant,brown,scattered
edible,bell,bruises,close,broad,black,smooth,white,white,pendant,brown,scattered
poisonous,convex,bruises,close,narrow,brown,smooth,white,white,pendant,brown,several
edible,bell,bruises,close,broad,black,smooth,white,white,pendant,brown,scattered
edible,bell,bruises,close,broad,white,smooth,white,white,pendant,brown,numerous
edible,bell,bruises,close,broad,gray,smooth,white,white,pendant,black,scattered
poisonous,flat,bruises,close,narrow,brown,smooth,white,white,pendant,brown,several
edible,convex,bruises,close,broad,brown,smooth,white,white,pendant,brown,numerous
edible,convex,bruises,close,broad,white,smooth,white,white,pendant,brown,numerous
edible,flat,no,close,narrow,black,smooth,white,white,pendant,black,solitary
edible,convex,bruises,crowded,narrow,brown,smooth,white,white,pendant,brown,several
edible,bell,bruises,close,broad,gray,smooth,white,white,pendant,brown,numerous
poisonous,convex,bruises,close,narrow,black,smooth,white,white,pendant,brown,scattered
edible,convex,bruises,close,broad,brown,smooth,white,white,pendant,brown,numerous
edible,convex,bruises,close,broad,pink,smooth,white,white,pendant,brown,solitary
edible,bell,bruises,close,broad,brown,smooth,white,white,pendant,brown,scattered
edible,convex,bruises,crowded,narrow,white,smooth,white,white,pendant,brown,several
edible,sunken,no,close,narrow,black,smooth,white,white,pendant,black,several
poisonous,convex,bruises,close,narrow,white,smooth,white,white,pendant,brown,scattered
edible,convex,bruises,crowded,narrow,pink,smooth,white,white,pendant,brown,several
edible,bell,bruises,close,broad,black,smooth,white,white,pendant,black,scattered
edible,bell,bruises,close,broad,brown,smooth,white,white,pendant,brown,scattered
edible,convex,bruises,close,broad,brown,smooth,white,white,pendant,black,solitary
edible,convex,no,close,narrow,gray,smooth,white,white,pendant,black,solitary
